iter	MultiClass
146	0.5600030917
147	0.5575459888
148	0.5550919038
149	0.5533775315
150	0.5515419221
151	0.5495144466
152	0.5470258951
153	0.5444317642
154	0.5434398158
155	0.5406960186
156	0.538408873
157	0.5364345978
158	0.534241075
159	0.5328331155
160	0.5317765022
161	0.5291778405
162	0.5275615643
163	0.5257565706
164	0.5232944558
165	0.5217948717
166	0.5205260588
167	0.5183069291
168	0.5168657802
169	0.5152502746
170	0.5123234846
171	0.5105301937
172	0.509483125
173	0.5080894153
174	0.5057212337
175	0.5046151686
176	0.5034845237
177	0.5017993701
178	0.4993611634
179	0.4973427881
180	0.4952985032
181	0.4935582917
182	0.4919206371
183	0.4899356538
184	0.4877479095
185	0.4851986398
186	0.4843886733
187	0.4834417421
188	0.4811253814
189	0.4787096523
190	0.4773393775
191	0.4755221232
192	0.4735552412
193	0.4710748531
194	0.468634904
195	0.4672489726
196	0.4659730903
197	0.4643683216
198	0.4624469082
199	0.4609948958
200	0.4593521289
201	0.4577492652
202	0.4566848356
203	0.4553009244
204	0.4537960029
205	0.4528224096
206	0.4509645671
207	0.4496454403
208	0.4486821506
209	0.4469233655
210	0.4462624011
211	0.4445024867
212	0.4428184521
213	0.4418505406
214	0.4407667162
215	0.4399140102
216	0.4376770023
217	0.4355808556
218	0.4343421943
219	0.4334057655
220	0.4321588047
221	0.4300709599
222	0.4284506911
223	0.4268022008
224	0.4255336091
225	0.4235879483
226	0.4221893017
227	0.4201954902
228	0.4184847426
229	0.4176921926
230	0.4155387897
231	0.4144828867
232	0.4131652065
233	0.4117222136
234	0.4104150759
235	0.4092774897
236	0.4081782164
237	0.4070369852
238	0.4052174578
239	0.4036688578
240	0.4021748999
241	0.4006538935
242	0.3991118671
243	0.3976117565
244	0.3953296276
245	0.3942522966
246	0.39288452
247	0.3913584154
248	0.3898328519
249	0.3882346671
250	0.3870176704
251	0.38565589
252	0.3844324661
253	0.3832883551
254	0.3824098659
255	0.3808923968
256	0.3795398896
257	0.3781480808
258	0.3770085576
259	0.3754397928
260	0.3743586477
261	0.3735499923
262	0.3722146361
263	0.3711302189
264	0.3698581312
265	0.3689045959
266	0.3678671806
267	0.3663655827
268	0.3652037017
269	0.3642248565
270	0.3628057627
271	0.3620196115
272	0.3608725333
273	0.3598207041
274	0.3590284428
275	0.3570991367
276	0.3563230005
277	0.3550192877
278	0.3545401134
279	0.3536139181
280	0.3527479298
281	0.3518062094
282	0.3506923653
283	0.3493860007
284	0.3484305213
285	0.347488989
286	0.3464576799
287	0.345047986
288	0.3439294207
289	0.3428335096
290	0.3422117021
291	0.3413685811
292	0.3404307337
293	0.3398728861
294	0.3387543137
295	0.3375878113
296	0.3366720894
297	0.3360810326
298	0.3351744758
299	0.3343944561
300	0.3338524084
301	0.3328863136
302	0.3318922171
303	0.3310271609
304	0.3300749834
305	0.3291118921
306	0.3282814215
307	0.327059081
308	0.3260712574
309	0.3250405298
310	0.3235729321
311	0.3226938422
312	0.3215928666
313	0.3207430326
314	0.3197798071
315	0.3185737031
316	0.3176419243
317	0.3169603433
318	0.3160111821
319	0.3148753419
320	0.3136887411
321	0.3123679972
322	0.3120999141
323	0.3113627544
324	0.3107303274
325	0.3098664398
326	0.3093246891
327	0.3088816555
328	0.307692871
329	0.3068710621
330	0.3058430066
331	0.3053494867
332	0.3046363126
333	0.3039581499
334	0.3032893829
335	0.3023283213
336	0.3011473771
337	0.3005714556
338	0.2992180711
339	0.2986700927
340	0.2982185017
341	0.2976612706
342	0.2965568501
343	0.2958790218
344	0.2948683825
345	0.2942657253
346	0.2933429842
347	0.2924254768
348	0.2915757698
349	0.2908335514
350	0.2902013694
351	0.2896229898
352	0.2890411974
353	0.2882587671
354	0.2873016967
355	0.2864427909
356	0.2852763076
357	0.2842360822
358	0.2832295883
359	0.2825052084
360	0.2819096939
361	0.2813229435
362	0.2806196827
363	0.2793839884
364	0.2785956594
365	0.2777620005
366	0.2770151172
367	0.2762857197
368	0.2756313519
369	0.2751304547
370	0.2746567671
371	0.2735574486
372	0.2726094983
373	0.2720679755
374	0.2715597504
375	0.27056201
376	0.2699060097
377	0.2693127645
378	0.2683905998
379	0.2676244257
380	0.2669799637
381	0.2664170518
382	0.2655992654
383	0.2651916732
384	0.264797211
385	0.2637183901
386	0.2632695168
387	0.2626929779
388	0.2618074588
389	0.2610421843
390	0.2605918136
391	0.2600491503
392	0.2594513136
393	0.259120201
394	0.2583288714
395	0.2574118142
396	0.2567099729
397	0.2561964438
398	0.2558094394
399	0.2552276024
400	0.2545593542
401	0.2541456465
402	0.2535191514
403	0.2528149755
404	0.2522111399
405	0.251356896
406	0.2505089915
407	0.2500011718
408	0.2494314014
409	0.2488273512
410	0.2480283154
411	0.2476115114
412	0.2467785897
413	0.2458199958
414	0.2451958216
415	0.2444725083
416	0.2438253921
417	0.2426464814
418	0.2417875723
419	0.2411612145
420	0.2405393141
421	0.2399623056
422	0.2395030186
423	0.2389037837
424	0.2382640484
425	0.2378503531
426	0.2371159525
427	0.2363763607
428	0.2356243842
429	0.2349848143
430	0.2343339286
431	0.2341081765
432	0.2335641105
433	0.2331882832
434	0.2325824153
435	0.2319843897
436	0.2312926182
437	0.2309048346
438	0.2304874704
439	0.229630963
440	0.2291298885
441	0.2288261934
442	0.2283477515
443	0.227847287
444	0.2270289654
445	0.2266133074
446	0.2261426055
447	0.2254515622
448	0.2248350678
449	0.2241113597
450	0.2238106338
451	0.2232884472
452	0.2225777625
453	0.2222825617
454	0.2216296695
455	0.2212204921
456	0.220541399
457	0.2200687404
458	0.2197330187
459	0.2191414825
460	0.2184446763
461	0.2177926364
462	0.2173620214
463	0.216863039
464	0.2162766446
465	0.2159545785
466	0.2153520035
467	0.2146718109
468	0.2141729911
469	0.2137456268
470	0.2132816711
471	0.2128645683
472	0.2124442967
473	0.2117177067
474	0.2109874474
475	0.2106671954
476	0.2100724456
477	0.2098652885
478	0.2095605603
479	0.2088505762
480	0.2081773921
481	0.207819065
482	0.2073795994
483	0.2068535185
484	0.2065055381
485	0.2059542406
486	0.2053352007
487	0.205050863
488	0.204706799
489	0.2044988383
490	0.2039924553
491	0.2036226785
492	0.2029436232
493	0.2022901056
494	0.2018360857
495	0.201286471
496	0.2007906886
497	0.2003493279
498	0.1999085554
499	0.1993621655
